Instrument,Deal PermID,Package Identifier,Master Deal Type Code,All New Issues Manager Roles Code,Manager's Role Code,Dates: Issue Date,Issuer/Borrower Name Full,Issuer/Borrower PermID,Issue Type,Transaction Status,Issuer/Borrower Nation,New Issues Current Filing Date,Offer Price (%),Proceeds Amount Incl Overallotment Sold All Markets,Issuer/Borrower Stock Exchange Name,Security Type All Markets,Offering Technique,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Issuer/Borrower TRBC Economic Sector,Bookrunner Or Co-Managers,Master Deal Type,New Issues Offer Price,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Adjusted Offer Price,Stock Price at Close of Issue Date,Issuer Stock Price 1 Day Prior to Filing Date,ISIN,Financials: Price Earnings Ratio Before Offering Percent,Financials: Price/Book Value Before Offer,Financials: Price/Book Value After Offer,Financials: EBITDA Before Offering Host Currency,New Issues Date Company Founded
154084676939,154084676939,127193,UKC,BM,BM,1996-07-16,Digital Animations Group PLC,,IPO,Live,United Kingdom,,,1.91199947,London AIM,Ordinary Or Common Shares,Placement,na,Technology,Charterhouse Tilney,UK Common Stock,0.71,-999.0,,,,,,,,,
154084676967,154084676967,127620,UKC,BM|CM,BM|CM,1996-09-17,Weeks Group PLC,4295895642,IPO,Live,United Kingdom,,,2.25,London AIM,Ordinary Or Common Shares,Placement,3.00000,Industrials,Neill Clerk Capital Limited,UK Common Stock,0.05,3.0,,,,,11.276,,,2.1,
154084677107,154084677107,127669,UKC,BM,BM,1996-09-24,Shalibane PLC(Halsall Holdings Ltd),5000278662,IPO,Live,United Kingdom,,,3.0,London AIM,Ordinary Or Common Shares,Placement,2.50000,Consumer Cyclicals,Brown Shipley & Co,UK Common Stock,1.25,2.5,,,,,,,,,1/1/1986 12:00:00 AM
154084677141,154084677141,126897,UKC,BM,BM,1996-06-26,Hat Pin PLC,4295895163,IPO,Live,United Kingdom,,,0.750176,London AIM,Ordinary Or Common Shares,Placement,na,Industrials,Gerrard Vivian Gray Ltd,UK Common Stock,0.68,-999.0,,,,GB0004150578,,,,,1/1/1996 12:00:00 AM
154084677164,154084677164,127686,UKC,BM,BM,1996-09-25,Personal Number Co PLC,4295895264,IPO,Live,United Kingdom,,,2.12500002,London AIM,Ordinary Or Common Shares,Placement,na,Industrials,Beeson Gregory Ltd,UK Common Stock,0.66,-999.0,,,,,-0.002,,,-0.5,
154084677279,154084677279,126969,UKC,BM,BM,1996-06-28,Circle Communications PLC,4296464032,IPO,Live,United Kingdom,,,6.8,London AIM,Ordinary Or Common Shares,Placement,1.50000,Technology,Hambros Bank Ltd,UK Common Stock,1.7,1.5,,,,,,,,,
154084677295,154084677295,131643,UKC,BM,BM,1997-10-16,Badgehurst Environmental Holdings Plc,4295951399,IPO,Live,United Kingdom,,,2.4,London AIM,Ordinary Or Common Shares,Offer for Subscription,5.00000,Consumer Non-Cyclicals,Not Available,UK Common Stock,0.16,5.0,,,,,,,,,
154084677437,154084677437,126274,UKC,BM,BM,1996-05-03,CA Coutts Holdings PLC,4295895636,IPO,Live,United Kingdom,,,3.17434215,London AIM,Ordinary Or Common Shares,Placement,0.75048,Consumer Non-Cyclicals,Beeson Gregory Ltd,UK Common Stock,1.05,0.75,,,,,,,,,
154084677689,154084677689,126357,UKC,BM,BM,1996-05-10,Fieldens PLC,4295895130,IPO,Live,United Kingdom,,,0.9999996,London AIM,Ordinary Or Common Shares,Placement,na,Consumer Cyclicals,Gerrard Vivian Gray Ltd,UK Common Stock,0.6,-999.0,,,,,,,,,
154084677730,154084677730,126302,UKC,BM,BM,1996-05-08,Carisbrooke Shipping PLC,4295895085,IPO,Live,United Kingdom,,,1.9999998,London AIM,Ordinary Or Common Shares,Placement,0.50000,Industrials,Singer & Friedlander Group PLC,UK Common Stock,0.9,0.5,,,,,,,,,12/31/1969 12:00:00 AM
