Instrument,Deal PermID,Package Identifier,Master Deal Type Code,All New Issues Manager Roles Code,Manager's Role Code,Dates: Issue Date,Issuer/Borrower Name Full,Issuer/Borrower PermID,Issue Type,Transaction Status,Issuer/Borrower Nation,New Issues Current Filing Date,Offer Price (%),Proceeds Amount Incl Overallotment Sold All Markets,Issuer/Borrower Stock Exchange Name,Security Type All Markets,Offering Technique,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Issuer/Borrower TRBC Economic Sector,Bookrunner Or Co-Managers,Master Deal Type,New Issues Offer Price,New Issues Fees: Gross Spread as Pct of Principal Amount This Market.1,Adjusted Offer Price,Stock Price at Close of Issue Date,Issuer Stock Price 1 Day Prior to Filing Date,ISIN,RICs,bestMatch,symbol,error,best_RIC,RIC_LSE
154084738727,154084738727,2017418,UKC,BM,BM,2005-05-17,World Gaming PLC,4295899046.0,IPO,Live,United Kingdom,,,2.499,OTC|London AIM,Ordinary Shares,Offer for Sale,na,Consumer Cyclicals,Daniel Stewart Securities Plc,UK Common Stock,0.525,-999.0,0.992,1.47,,GB00B07RW076,"['WGP.L^D07', 'WG6.SG^D07', 'WG6.BE^D07', 'WGMGF.PK^H09', 'WGPl.INS^G07', 'WGP.PO^D07']",{'error': 'No best match available'},GB00B07RW076,,,
154084738879,154084738879,2050564,EC,BM,BM,2005-07-14,Oxonica,5035540537.0,IPO,Live,United States,,,8.295126568,London AIM,Ordinary Shares,Offer for Sale,na,Healthcare,Panmure Gordon & Co Ltd,Euro & Foreign Common Stock,0.958,-999.0,,,,GB00B0D09P49,"['O2Q.L^H09', 'O2Q.BE^H09', 'OXONF.PK^L10', 'O2Q.PO^L08', 'O2QGBP.PZ^H09', 'O2Ql.INS^K08']",{'error': 'No best match available'},GB00B0D09P49,,,
154084738880,154084738880,2050570,UKC,BM,BM,2005-06-15,AT Communications Group PLC,4295896538.0,IPO,Live,United Kingdom,,,3.14999981,London AIM,Ordinary Shares,Offer for Sale,na,Technology,Insinger de Beaufort Holdings,UK Common Stock,0.37,-999.0,0.674,,,GB00B0C8K346,"['ATCG.L^I09', 'ATCL.BE^H09', 'ATCG.PO^L08', 'ATCGGBP.PZ^I09', 'ATCG.mGBP^I09', 'ATCG.mEUR^I09']",{'error': 'No best match available'},GB00B0C8K346,,,
154084738920,154084738920,1992826,UKC,BM,BM,2005-02-18,NeutraHealth PLC,4295894220.0,IPO,Live,United Kingdom,,,1.4045001,London AIM,Ordinary Shares,Accelerated Bookbuilt,na,Healthcare,KBC Peel Hunt Ltd,UK Common Stock,0.05,-999.0,0.094,0.29,,GB00B062Q126,"['NEHE.L^K10', 'NNB.BE^K10', 'NEHE.PZ^K10', 'NNB.TG^K10', 'NEHEl.INS^K08', 'NEHEGBP.PZp^B09', 'NEHE.PO^L08']",{'error': 'No best match available'},GB00B062Q126,,,
154084739006,154084739006,2023699,UKC,BM,BM,2005-06-24,Provexis PLC,4295897706.0,IPO,Live,United Kingdom,,,3.799999952,London AIM,Ordinary Shares,Offer for Subscription,na,Consumer Non-Cyclicals,Arbuthnot Securities Ltd,UK Common Stock,0.056,-999.0,0.051,0.115,0.14,GB00B0923P27,"['PXSP.L', 'PXSgb.ASE', 'PXSL.F', 'PXSl.TRE', 'PXSL.SG', 'PXSL.BE', 'PXSL.DEU', 'PXSl.TRU', 'PXSl.BCU', 'PXSL.DE^E11', 'PXSl.TQ^B19', 'PXSgb.PZ^A12', 'NTR.mEUR^D12', 'NTR.PO^L08', 'PXSL.TG^A14', 'PXSl.TRXA^G21', 'NTRl.INS^K08', 'NTR.mGBP^D12', 'PXSl.BCO']",{'RIC': 'PXSP.L'},GB00B0923P27,,,PXSP.L
154084739037,154084739037,2029846,UKC,BM,BM,2005-01-27,Eredene Capital PLC,4295893873.0,IPO,Live,United Kingdom,,,3.95,London AIM,Ordinary Shares,Offer for Sale,na,Financials,Seymour Pierce Ltd,UK Common Stock,0.25,-999.0,0.47,,,GB00B064S565,"['ERE.L^L14', 'EEDEF.PK^G10', 'ERE.BE^L14', 'EREgb.PZ^A12', 'ERE.mGBP^D12', 'ERE.TG^L14', 'EREl.BCO^C15', 'ERE.PO^L08', 'ERE.mEUR^D12']",{'error': 'No best match available'},GB00B064S565,,,
154084739069,154084739069,2026671,UKC,BM,BM,2005-06-20,Fishworks PLC,4295893832.0,IPO,Live,United Kingdom,,,4.39999989,London AIM,Ordinary Shares,Offer for Sale,na,Consumer Cyclicals,Arden Partners Ltd,UK Common Stock,0.33,-999.0,0.602,0.794,,GB0009588533,"['FSH.L^B09', 'FIS.OF^F05', 'FSH.mEUR^C09', 'FSHGBP.PZ^B09', 'FSH.PO^L08', 'FSH.mGBP^C09']",{'error': 'No best match available'},GB0009588533,,,
154084739079,154084739079,2035397,UKC,BM,BM,2005-08-03,Messaging International plc,4295896696.0,IPO,Live,United Kingdom,,,1.5,London AIM,Ordinary Shares,Offer for Sale,na,Technology,Seymour Pierce Ltd,UK Common Stock,0.05,-999.0,1.848,0.107,,GB00B0DR6985,,{'error': 'No best match available'},GB00B0DR6985,Unknown symbol,,
154084739174,154084739174,2207022,UKC,BM,BM,2005-04-15,South China Resources PLC,4295897647.0,IPO,Live,United Kingdom,,,3.0,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Energy,Hichens Harrison,UK Common Stock,0.05,-999.0,0.094,,,GB00B0704D34,"['UCL.L^K08', 'SOCR.BE^I08', 'UCL.PO^K08']",{'error': 'No best match available'},GB00B0704D34,,,
154084739204,154084739204,2024096,EC,BM|JL,BM|JL,2005-06-09,"ZAO ""Rambler Media""",4295887120.0,IPO,Live,Russia,,,44.66901825,London AIM,Ordinary Shares,Offer for Sale,na,Technology,Deutsche Bank|Aton,Euro & Foreign Common Stock,10.25,-999.0,10.25,,,GB00B06GTJ32,"['RMG.L^L09', 'RMG.F^A10', 'RMG.DE^A10', 'RMG.BE^A10', 'RMG.SG^A10', 'RBMLF.PK^F10', 'RMGl.INS^K08', 'RMG.DEU^A10', 'RMG.mUSD^C10', 'RMG.mEUR^B10', 'RMG.PO^L08', 'RMG.rEUR^J09', 'RMG.mGBP^B10', 'RMGUSD.PZ^L09', 'RMG.rUSD^J09']",{'error': 'No best match available'},GB00B06GTJ32,,,
154084739316,154084739316,2026685,UKC,BM,BM,2005-06-20,E-retail,4295894113.0,IPO,Live,United Kingdom,,,0.7,London AIM,Ordinary Shares,Offer for Sale,na,Consumer Cyclicals,Seymour Pierce Ellis Ltd,UK Common Stock,0.035,-999.0,0.063,0.078,,GB00B0BHCS10,"['EBTM.L^D09', 'EBTM.mGBP^D09', 'EBTM.PO^L08', 'EBTM.mEUR^D09', 'EBTMGBP.PZ^C09']",{'error': 'No best match available'},GB00B0BHCS10,,,
154084745070,154084745070,2218730,EC,BM,BM,2007-02-14,Haike Chemical Group Ltd,4295865133.0,IPO,Live,China (Mainland),2007-02-08,,20.00000078,London AIM,Ordinary Or Common Shares,Offer for Subscription|Firm Commitment,na,Basic Materials,Hanson Westhouse LLP,Euro & Foreign Common Stock,1.57,-999.0,1.569,2.561,,KYG423181083,"['HAIK.L^C18', 'HAIKl.TRE^C18', 'HAIK.SG^C18', 'HAIK.BE^C18', 'HAIKgb.PZ^A12', 'HAIK.mGBP^K14', 'HAIKl.BCO^H18', 'HAIK.PO^L08', 'HAIK.TG^C18', 'HAIK.mEUR^K14']",{'error': 'No best match available'},KYG423181083,,,
154084745284,154084745284,2251830,EC,BM|JL|GL,BM|JL,2007-06-13,CBaySystems Holdings Ltd,4298008703.0,IPO,Live,United States,2007-05-30,,12.74967097,London AIM|Nasdaq,Ordinary Or Common Shares,Offer for Subscription,na,Industrials,Jefferies International Ltd|ENAM Financial Consultants Pvt Ltd,Euro & Foreign Common Stock,0.89,-999.0,1.755,1.874,,VGG1986L1022,"['CBAY.L^A11', 'CBAY.BE^A11', 'CBAYgb.PZ^A11', 'CBAY.TG^A11', 'CBAY.PO^L08', 'CBAY.mEUR^D12', 'CBAY.mGBP^D12']",{'error': 'No best match available'},VGG1986L1022,,,
154084745509,154084745509,2247734,EC,BM,BM,2007-06-18,Vietnam Infrastructure Ltd {VNI},4297625846.0,IPO,Live,Vietnam,2007-06-11,,200.0,London AIM,Units,Offer for Subscription|Firm Commitment,na,Financials,Rothschild & Co,Euro & Foreign Common Stock,1.0,-999.0,,,,KYG936121022,"['LP68121761^J17', 'VNIq.L^J17', 'VNI.BE^H16', 'VTNIF.PQ^B19', 'VTNIF.PK^B19', 'VNIgb.PZ^A12', 'VNIq.PO^L08', 'VNIq.mGBP^K14', 'VNIq.mUSD^K14', 'VNIql.INS^K08', 'VNIl.BCO^A18', 'VNIq.mEUR^K14']",{'error': 'No best match available'},KYG936121022,,,
154084745677,154084745677,2241494,EC,BM,BM,2007-05-02,NetDimensions Ltd,4295863310.0,IPO,Live,Cayman Islands,2007-04-16,,3.0000002,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Technology,Teather & Greenwood Ltd,Euro & Foreign Common Stock,0.62,-999.0,1.233,1.293,,KYG6427F1019,"['NETD.L^D17', 'NETD.BE^D17', 'NDHLF.PQ^B18', 'NDHLF.PK^B18', 'NETDgb.PZ^A12', 'NETDl.INS^K08', 'NETD.TG^G14', 'NETD.PO^L08', 'NETDl.BCO^I17']",{'error': 'No best match available'},KYG6427F1019,,,
154084745729,154084745729,2246486,EC,BM,BM,2007-04-26,Templar Minerals Ltd,4295897700.0,IPO,Live,United Kingdom,,,0.015,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Financials,Beaumont Cornish,Euro & Foreign Common Stock,0.05,-999.0,9.954,,,VGG8755P1071,,{'error': 'No best match available'},VGG8755P1071,Unknown symbol,,
154084745822,154084745822,2221615,UKC,BM,BM,2007-03-14,Trust Property Management PLC,4295897669.0,IPO,Live,United Kingdom,2007-02-20,,0.6,London AIM|PLUS,Ordinary Or Common Shares,Offer for Subscription,na,Real Estate,City Financial Associates Ltd,UK Common Stock,0.1,-999.0,0.193,0.257,,GB00B1NXMT53,"['TPM.L^A09', 'TPM.BE^A09', 'TPM.PZ^A09', 'TPM.PO^L08', 'TPMGBP.PZp^A09']",{'error': 'No best match available'},GB00B1NXMT53,,,
154084745862,154084745862,2231366,UKC,BM|CM,BM|CM,2007-03-29,Inland PLC,4295896449.0,IPO,Live,United Kingdom,2007-03-19,,50.0,London AIM,Ordinary Or Common Shares,Firm Commitment|Offer for Subscription,na,Real Estate,KBC Peel Hunt Ltd,UK Common Stock,0.5,-999.0,0.98,,,GB00B1TR0310,"['INLl.BCU', 'ILND.L^J23', 'INLl.TRE^J23', 'Q9J.BE^J23', 'INLgb.PZ^A12', 'ILND.mEUR^D12', 'ILNDGBP.PZp^B09', 'Q9J.TG^K14', 'INLl.TRU^J23', 'INLl.TWEA^I20', 'ILND.PO^L08', 'INLl.TRXA^G21', 'ILND.mGBP^D12', 'INLl.BCO']",{'RIC': 'ILND.L^J23'},GB00B1TR0310,,,
154084745975,154084745975,2218288,EC,BM|CM|CM,BM|CM|CM,2007-02-23,Redknee Solutions Inc,4295863081.0,IPO,Live,Canada,2007-02-09,,17.535,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Technology,Canaccord Capital Corp,Euro & Foreign Common Stock,1.05,-999.0,81.048,2.061,,CA7575241038,,{'error': 'No best match available'},CA7575241038,Unknown symbol,,
154084745993,154084745993,2210859,EC,BM,BM,2006-01-21,Origo Sino-India PLC,,IPO,Live,China (Mainland),,,12.836619,London AIM,Ordinary Or Common Shares,Firm Commitment|Placement|Offer for Subscription,na,Financials,Seymour Pierce Ltd,Euro & Foreign Common Stock,0.5,-999.0,0.885,,,IM00B1G3MS12,"['OROPF.PQ', 'OROPF.PK', 'OPP.L^E22', 'OPPl.TRE^E22', 'LTL.BE^E22', 'OPPgb.PZ^A12', 'OPPl.BCO^K22', 'LTL.TG^K14', 'ORIG.PO^L08', 'OPP.mEUR^K14', 'OPPl.BCU^K22', 'ORIGl.INS^K08', 'OPPl.TRU^E22', 'OPP.mGBP^K14', 'OPP.mGBP^D12', 'OPP.mEUR^D12', 'LP68080387^C16']",{'RIC': 'OPP.L^E22'},IM00B1G3MS12,,,
154084746033,154084746033,2224725,EC,BM|CL|GL,BM|CL,2007-04-02,Delek Global Real Estate Ltd,4295898943.0,IPO,Live,Jersey,2007-03-27,,110.58911,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Real Estate,Merrill Lynch & Co Inc|Panmure Gordon & Co Ltd,Euro & Foreign Common Stock,2.0,-999.0,3.955,,,JE00B1S0VN88,"['DGRE.L^F09', 'DGREl.INS^K08', 'DGREGBP.PZ^F09', 'DGRE.rGBP^J09', 'DGRE.PO^L08']",{'error': 'No best match available'},JE00B1S0VN88,,,
154084746057,154084746057,2225025,EC,BM,BM,2007-03-20,Noventa Ltd,4295897625.0,IPO,Live,Jersey,,,8.05081725,Toronto Stock Exchange|London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Basic Materials,Investec PLC,Euro & Foreign Common Stock,1.75,-999.0,49.877,3.864,,JE00B1RPM978,,{'error': 'No best match available'},JE00B1RPM978,Unknown symbol,,
154084746084,154084746084,2240057,EC,BM,BM,2007-04-25,Promethean India PLC,4295894368.0,IPO,Live,Isle of Man,2007-04-11,,50.0,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Financials,Fairfax IS Ltd,Euro & Foreign Common Stock,1.0,-999.0,2.001,2.122,,GB00B14VJG46,"['ECAPEx.L^D16', 'ECAPx.BE^D16', 'ECAPgb.PZ^A12', 'PTHxl.INS^I08', 'ECAPExl.INS^K08', 'ECAPx.TG^K14', 'ECAPl.BCO^G16', 'ECAPEx.PO^L08']",{'error': 'No best match available'},GB00B14VJG46,,,
154084746107,154084746107,2233788,UKC,BM,BM,2007-04-13,AFC Energy PLC,4295897786.0,IPO,Live,United Kingdom,2007-03-26,,3.03209782,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Energy,Dawnay Day,UK Common Stock,0.23,-999.0,0.455,,,GB00B18S7B29,"['AFEN.L', 'AFEN.F', 'AFEN.MU', 'AFEN.BE', 'AFEN.SG', 'AFEN.D', 'AFCl.TQ', 'AFGYF.PK', 'AFCl.TRE', 'AFGYF.PQ', 'AFEN.xt', 'AFEN.TG', 'AFEN.DEU', 'AFCl.TRU', 'AFCl.TXEA', 'QC8.QTX', 'AFCl.AQX', 'AFCl.BCU', 'AFCl.TBEA', 'AFEN.GTX', 'AFEN.DE^E22', 'AFCl.INS^J07', 'AFCEgb.PZ^A12', 'AFCl.TRXA^L20', 'AFENl.INS^K08', 'AFCl.TWEA^C21', 'AFEN.TG^L14', 'AFCl.STp^F21', 'AFEN.PO^L08', 'AFCl.ENp^L20', 'GB00B18S7B29.GTX^J21', 'AFCl.DAp^G21', 'AFCl.VIp', 'AFCl.BCO', 'AFCl.TWEA']",{'RIC': 'AFEN.L'},GB00B18S7B29,,,AFEN.L
154084746280,154084746280,2228123,EC,BM,BM,2007-03-26,Public Service Properties Investments Ltd,4295896471.0,IPO,Live,British Virgin Islands,2007-03-09,,75.0,London AIM,Ordinary Or Common Shares,Offer for Sale|Offer for Subscription,na,Real Estate,Evolution Securities Ltd,Euro & Foreign Common Stock,1.5,-999.0,3.223,3.121,,VGG729641024,,{'error': 'No best match available'},VGG729641024,Unknown symbol,,
154084746281,154084746281,2228125,UKC,BM,BM,2007-03-23,Enfis Group Ltd,4295898933.0,IPO,Live,United Kingdom,,,4.5000004,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Consumer Cyclicals,Noble & Co Ltd,UK Common Stock,1.4,-999.0,0.016,2.943,,GB00B1TK2453,"['BOUB.L^D20', 'BOUl.TRE^D20', 'ENF.BE^D20', 'BOUgb.NXX^D20', 'PSLgb.PZ^A12', 'BOUl.BCO^G20', 'ENF.TG^G11', 'ENF.PO^L08', 'BOUl.BCU^G20']",{'error': 'No best match available'},GB00B1TK2453,,,
154084746302,154084746302,2229904,EC,BM,BM,2007-03-14,Trust Capital Properties Ukraine Limited,5050712799.0,IPO,Live,Guernsey,,,150.0,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Financials,Panmure Gordon & Co Ltd,Euro & Foreign Common Stock,1.0,-999.0,,,,GG00B1V0P115,,{'error': 'No best match available'},GG00B1V0P115,Unknown symbol,,
154084746504,154084746504,2228412,EC,BM,BM,2007-03-08,Evolvence India Holdings Plc,4295898942.0,IPO,Live,Isle of Man,,,65.0,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Financials,Seymour Pierce Ltd,Euro & Foreign Common Stock,1.0,-999.0,0.104,,,IM00B1HYQW54,"['EIH.L^E20', 'EIHl.TRE^E20', 'EIH.BE^E20', 'EIHgb.PZ^A12', 'EIHl.BCU^I20', 'EIH.PO^L08', 'EIHl.BCO^I20']",{'error': 'No best match available'},IM00B1HYQW54,,,
154084746528,154084746528,2230283,EC,BM,BM,2007-05-15,DiamondTech Inc,4298008839.0,IPO,Live,Cayman Islands,2007-05-10,,4.25,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Industrials,Keith Bayley Rogers,Euro & Foreign Common Stock,0.125,-999.0,0.247,0.267,,KYG275861097,"['DTEC.L^L09', 'DTEC.PO^L08', 'DTECGBP.PZ^L09']",{'error': 'No best match available'},KYG275861097,,,
154084746626,154084746626,2240902,EC,BM,BM,2007-05-23,Plantic Technologies Ltd,4295856444.0,IPO,Live,Australia,2007-03-05,,19.99999616,London AIM,Ordinary Or Common Shares,Best Efforts|Offer for Subscription,na,Basic Materials,Libertas Capital Group Plc,Euro & Foreign Common Stock,0.64,-999.0,1.271,1.629,,AU0000XINEG8,"['PLNT.L^K10', 'PLNT.BE^K10', 'PLNTGBP.PZ^K10', 'PLNT.PO^L08', 'PLNT.mEUR^D12', 'PLNTl.INS^K08', 'PLNTgb.PZ^L10', 'PLNT.TG^K10', 'PLNT.mGBP^D12']",{'error': 'No best match available'},AU0000XINEG8,,,
154084746734,154084746734,2226281,EC,BM,BM,2007-03-05,Vycon Inc,4295902337.0,IPO,Live,United States,,,9.17348988,London AIM,Ordinary Or Common Shares,Firm Commitment|Offer for Subscription,na,Industrials,Smith & Williamson Corporate Finance Ltd,Euro & Foreign Common Stock,0.89,-999.0,1.708,,,USU929191067,"['VYCO.L^C09', 'VYCO.BE^E08', 'VYCO.PO^L08', 'VYCOGBP.PZ^C09']",{'error': 'No best match available'},USU929191067,,,
154084746735,154084746735,2226289,UKC,BM,BM,2007-03-06,Equable Properties PLC,4295899115.0,IPO,Live,United Kingdom,,,1.554900004,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Real Estate,SP Angel & Co,UK Common Stock,0.014,-999.0,0.027,,,GB00B1PJFT25,"['EQU.L^A09', 'EQU.BE^A09', 'EQUGBP.PZ^B09', 'EQU.PO^L08']",{'error': 'No best match available'},GB00B1PJFT25,,,
154084746768,154084746768,2233669,UKC,BM,BM,2007-04-04,EpiStem Holdings PLC,4295897688.0,IPO,Live,United Kingdom,,,1.12630192,London AIM|PLUS,Ordinary Or Common Shares,Offer for Subscription,na,Healthcare,Teather & Greenwood Ltd,UK Common Stock,1.24,-999.0,2.45,3.014,,GB00B1VKB244,"['GDRG.L', 'D6M.F', 'GDRl.TRE', 'D6M.SG', 'D6M.BE', 'GDRG.xt', 'D6M.DEU', 'GDRl.BCU', 'GDRl.TRU', 'GDRl.AQX', 'EPSHF.PK^I17', 'EPSHF.PQ^I17', 'EHPgb.PZ^A12', 'EHP.PO^L08', 'GDRl.TWEA^J20', 'GDRl.TBEA^H21', 'GDRl.TBEA^E22', 'D6M.TG^E13', 'GDRl.TWEA^L20', 'GDRl.TBEA^J21', 'GDRl.TBEA^A22', 'GDRl.TXEA^K22', 'GDRl.BCO']",{'RIC': 'GDRG.L'},GB00B1VKB244,,,GDRG.L
154084746947,154084746947,2225019,IFC,BM,BM,2007-02-28,ZTC Telecommunications PLC,4295894156.0,IPO,Unknown,United Kingdom,,,,London AIM,Ordinary Or Common Shares,Offer for Subscription,na,Financials,Corporate Synergy PLC,International Future Common Stock,,-999.0,,,,,,,,,,
